marker	target	nA	nB	med.grpA	med.grpB	med.grpA-med.grpB	min.grpA	min.grpB	spearman.r	spearman.p	wilcox.p	PermutationP	FDR
Breast	MAP3K4_ENSG00000085511	27	90	-0.09	0.99	-1.08	-12.77	-0.95	-0.354704485	0.0000436	0.0000675	0.000001	0.0016065
Breast	ERBB3_ENSG00000065361	27	90	-1.2	-0.05	-1.15	-5.78	-4.19	-0.428366322	0.000000895	0.00000244	0.000002	0.0025704
Breast	FASTK_ENSG00000164896	27	90	-0.48	0.42	-0.9	-3.07	-3.06	-0.284423808	0.000941996	0.001106303	0.000006	0.0037485
Breast	RIPK2_ENSG00000104312	27	90	-0.03	0.54	-0.57	-1.57	-1.48	-0.322564212	0.000194894	0.00025937	0.000007	0.0037485
Breast	LRRK1_ENSG00000154237	27	90	0.08	0.685	-0.605	-1.43	-2.48	-0.286528886	0.000868252	0.001025398	0.00002	0.006764211
Breast	STK16_ENSG00000115661	27	90	0.12	0.7	-0.58	-2.16	-1.39	-0.353501128	0.0000462	0.0000712	0.000023	0.0073899
Breast	PDGFRL_ENSG00000104213	27	90	0	0.44	-0.44	-1.37	-0.66	-0.258299384	0.002463111	0.002728554	0.000031	0.0089964
Breast	SGK494_ENSG00000167524	27	90	-0.4	0.165	-0.565	-1.46	-2.98	-0.313250765	0.000292019	0.000375052	0.000035	0.0089964
Breast	PDK2_ENSG00000005882	27	90	-0.51	0.195	-0.705	-2.15	-1.92	-0.317457257	0.000243666	0.000317876	0.000043	0.010234
Breast	TYRO3_ENSG00000092445	27	90	-0.63	0.08	-0.71	-3.29	-3.17	-0.295831814	0.0006011	0.00072886	0.000123	0.023814
Breast	MAP3K14_ENSG00000006062	27	90	-0.23	0.355	-0.585	-2.14	-3.12	-0.30964963	0.000340258	0.000431441	0.000126	0.023814
Breast	CDK10_ENSG00000185324	27	90	-0.98	-0.13	-0.85	-4.58	-3.03	-0.35440215	0.0000442	0.0000684	0.000171	0.025119818
Breast	CKS1B_ENSG00000173207	27	90	0.01	0.405	-0.395	-1.2	-1.7	-0.295238883	0.00061558	0.0007451	0.000172	0.025119818
Breast	KHK_ENSG00000138030	27	90	-0.425	0.155	-0.58	-2.1	-2.15	-0.257146169	0.002663405	0.002941116	0.000217	0.027594
Breast	MAPK14_ENSG00000112062	27	90	0.15	0.68	-0.53	-1.82	-2.01	-0.244777756	0.003908893	0.004230442	0.000297	0.033482842
Breast	FGFRL1_ENSG00000127418	27	90	-0.41	0.08	-0.49	-1.92	-5	-0.249574325	0.003327252	0.003629062	0.000305	0.033791897
Breast	CSNK1G3_ENSG00000151292	27	90	-0.1	0.62	-0.72	-0.56	-1.8	-0.194318317	0.017892509	0.018325184	0.000344	0.035496
Breast	PGK2_ENSG00000170950	27	90	0	0.665	-0.665	-1.75	-1.39	-0.248811299	0.00353795	0.003850635	0.000364	0.036547875
Breast	CDK7_ENSG00000134058	27	90	0.12	0.605	-0.485	-1.84	-0.75	-0.333390161	0.000119808	0.00016694	0.000378	0.036829612
Breast	PIK3CA_ENSG00000121879	27	90	-1.04	0.175	-1.215	-9.46	-3.27	-0.360239131	0.0000356	0.0000567	0.000404	0.038178
Breast	TLK2_ENSG00000146872	27	90	-0.19	0.55	-0.74	-1.65	-1.92	-0.30097331	0.000513645	0.000631474	0.000432	0.0397494
