marker	target	nA	nB	sensitive.threshold	med.grpA	med.grpB	med.grpA-med.grpB	count.grpA.sens	count.grpB.sens	percent.grpA.sens	percent.grpB.sens	min.grpA	min.grpB	spearman.r	spearman.p	wilcox.p	mptest.p
BONE	AAK1_ENSG00000115977	18	99	-3.325	-0.735	-0.78	0.045	0	5	0	5.05050505050505	-2.22	-4.52	0.0508546671756485	0.706959489945913	0.709354145819754	NA
BONE	AATK_ENSG00000181409	18	99	-3.205	0.175	-0.19	0.365	0	3	0	3.03030303030303	-1.94	-4.18	0.17883877256336	0.972622063971985	0.972674776616295	NA
BONE	ABL1_ENSG00000097007	18	99	-1.965	-0.42	0	-0.42	0	1	0	1.01010101010101	-1.59	-2.73	-0.159930358726753	0.0424946364122716	0.0428322050718695	NA
BONE	ABL2_ENSG00000143322	18	99	-2.195	-0.335	0.17	-0.505	0	1	0	1.01010101010101	-1.7	-2.26	-0.182026682448642	0.0247521547503404	0.0251907905098305	NA
BONE	ACVR1_ENSG00000115170	18	99	-1.78	0.44	0	0.44	1	4	5.55555555555556	4.04040404040404	-1.81	-3.25	0.139935655722368	0.933812079673079	0.934596915763118	NA
BONE	ACVR1B_ENSG00000135503	18	99	-1.215	-0.325	0.41	-0.735	3	1	16.6666666666667	1.01010101010101	-1.62	-1.7	-0.339854559175589	8.88268585792315e-05	0.00012780722470195	NA
BONE	ACVR1C_ENSG00000123612	18	99	-1.19	0.66	0.37	0.29	0	0	0	0	-0.14	-1.08	0.157831038824343	0.955391614670198	0.955778608070727	NA
BONE	ACVR2A_ENSG00000121989	18	99	-1.245	0.43	0.58	-0.15	0	5	0	5.05050505050505	-0.57	-4.82	-0.0129769756107756	0.444777934094845	0.44591505287173	NA
BONE	ACVR2B_ENSG00000114739	18	99	-2.94	-1.19	0.21	-1.4	2	3	11.1111111111111	3.03030303030303	-3.5	-4.66	-0.369310100247986	2.08693115619064e-05	3.53653850941327e-05	NA
BONE	ACVRL1_ENSG00000139567	18	99	-2.25	-0.42	0.05	-0.47	1	2	5.55555555555556	2.02020202020202	-2.7	-3.05	-0.244297814774817	0.00560790027259708	0.00601887600956022	NA
BONE	ADCK1_ENSG00000063761	18	99	-1.17	0.31	0.25	0.06	1	6	5.55555555555556	6.06060606060606	-1.29	-2.1	0.0347212022204961	0.644922151408658	0.647186696424421	NA
BONE	ADCK2_ENSG00000133597	18	99	-2.505	-0.58	-0.42	-0.16	0	6	0	6.06060606060606	-2.41	-6.45	-0.0420854384384346	0.326162092135858	0.326536672325931	NA
BONE	ADCK4_ENSG00000123815	18	99	-1.17	0.7	0.5	0.2	0	5	0	5.05050505050505	-0.09	-3.02	0.195350602392084	0.982602396667965	0.982474457689632	NA
BONE	ADCK5_ENSG00000261694	18	99	-2.215	0.585	-0.16	0.745	0	0	0	0	-1.33	-2.16	0.326387138849388	0.999825332128481	0.999770772673726	NA
BONE	ADK_ENSG00000156110	18	99	-1.43	-0.005	0.41	-0.415	0	1	0	1.01010101010101	-1.4	-1.56	-0.160630603906531	0.0418076300713347	0.0421496802397564	NA
BONE	ADPGK_ENSG00000159322	18	99	-2.305	-1.005	-0.3	-0.705	3	4	16.6666666666667	4.04040404040404	-2.93	-3.57	-0.292149652879086	0.000696293367945931	0.000836784458121871	NA
BONE	ADRBK1_ENSG00000173020	18	99	-3.805	-1.09	-0.76	-0.33	0	0	0	0	-2.53	-3.38	-0.127307974287832	0.0856820186199896	0.0857544334758999	NA
BONE	ADRBK2_ENSG00000100077	18	99	-0.11	1.015	0.85	0.165	0	3	0	3.03030303030303	0.53	-1.89	0.266908823264218	0.998187244645811	0.998001975914072	NA
BONE	MAGI2_ENSG00000187391	18	99	-2.385	-0.265	-0.2	-0.065	0	0	0	0	-1	-2.17	-0.0024550896947669	0.489520683795132	0.490958875421278	NA
BONE	AK1_ENSG00000106992	18	99	-2.32	-0.605	-0.02	-0.585	0	0	0	0	-1.8	-2.23	-0.256023587540048	0.00266665421150394	0.00294645797885405	NA
BONE	RP4.592A1.2_ENSG00000185839	18	99	-2.49	-0.18	0.03	-0.21	0	2	0	2.02020202020202	-1.57	-5.86	-0.00946929460680114	0.459644793535769	0.460882726484815	NA
BONE	AK4_ENSG00000162433	18	99	-1.725	0.1	0.06	0.04	0	4	0	4.04040404040404	-1.29	-2.39	-0.00315643744886291	0.486528046275802	0.487946376206394	NA
BONE	AK3_ENSG00000147853	18	99	-1.62	0.155	0.145	0.00999999999999998	0	1	0	1.01010101010101	-1.57	-3.07	-0.0977746768487553	0.148204433513773	0.148079941775034	NA
BONE	AK5_ENSG00000154027	18	99	-1.025	0.79	0.37	0.42	0	5	0	5.05050505050505	-0.38	-1.4	0.223408558084007	0.992266890236992	0.992022890955055	NA
BONE	AK7_ENSG00000140057	18	99	-2.08	0.295	0.23	0.065	1	2	5.55555555555556	2.02020202020202	-2.3	-2.53	-0.00455929853724642	0.48054447689532	0.481923002957768	NA
BONE	AKT1_ENSG00000142208	18	99	-2.325	0.095	-0.08	0.175	1	4	5.55555555555556	4.04040404040404	-4.07	-3.58	0.0519054713122005	0.71082291246567	0.713220018843963	NA
BONE	AKT2_ENSG00000105221	18	99	-3.765	-0.595	-0.65	0.055	0	1	0	1.01010101010101	-2.29	-3.85	0.0687418675069818	0.769270174559177	0.771607128125007	NA
BONE	AKT3_ENSG00000117020	18	99	-3.24125	-0.7	-0.515	-0.185	0	1	0	1.01010101010101	-2.06	-3.3	-0.0501313579278472	0.296525427473767	0.296744743967401	NA
BONE	ALK_ENSG00000171094	18	99	-1.89125	-0.105	-0.18	0.075	0	1	0	1.01010101010101	-1.72	-2.16	0.0540421071593588	0.717749583759653	0.720171070629033	NA
BONE	STRADB_ENSG00000082146	18	99	-2.72	-0.675	-0.39	-0.285	0	5	0	5.05050505050505	-1.97	-4.11	-0.0336687922718685	0.359283073774794	0.359854903312924	NA
BONE	CDK15_ENSG00000138395	18	99	-1.31	0.325	0.49	-0.165	0	2	0	2.02020202020202	-0.41	-2.09	-0.0606735147411331	0.257898696516372	0.257944159482897	NA
BONE	AMHR2_ENSG00000135409	18	99	-2.28	-0.235	-0.19	-0.045	0	2	0	2.02020202020202	-1.24	-3.07	-0.0382299700749058	0.341185369676069	0.341647166600357	NA
BONE	ANKK1_ENSG00000170209	18	99	-1.34875	0.38	0.14	0.24	0	4	0	4.04040404040404	-0.81	-3.84	0.102753481924602	0.863813030481367	0.865576386904352	NA
BONE	RIPK4_ENSG00000183421	18	99	-1.7	0.2	0.03	0.17	0	0	0	0	-1.17	-1.63	0.110827479363495	0.882894270759254	0.884429693795007	NA
BONE	ARAF_ENSG00000078061	18	99	-1.1	0.515	0.71	-0.195	0	2	0	2.02020202020202	0.08	-1.43	-0.00385796917981202	0.483535372573361	0.484933864906021	NA
BONE	NUAK1_ENSG00000074590	18	99	-0.85	0.49	0.75	-0.26	1	3	5.55555555555556	3.03030303030303	-1.55	-1.59	-0.139241006271923	0.067163468920047	0.0673406370337311	NA
BONE	DBF4_ENSG00000006634	18	99	-1.18	0.66	0.51	0.15	0	2	0	2.02020202020202	-0.67	-3.43	0.00771592390384489	0.53290152829405	0.534616732212485	NA
BONE	ATM_ENSG00000149311	18	99	-2.425	-0.34	-0.48	0.14	0	5	0	5.05050505050505	-1.86	-6.33	0.0599735474419405	0.739669444052937	0.742060951994489	NA
BONE	ATR_ENSG00000175054	18	99	-2.73	-0.555	-0.45	-0.105	0	4	0	4.04040404040404	-2.69	-5.61	-0.0196409751454184	0.416760120575899	0.417707292954366	NA
BONE	AURKA_ENSG00000087586	18	99	-10.25	-2.995	-3.51	0.515	0	7	0	7.07070707070707	-7.62	-23.44	0.0845198471774134	0.817539698813301	0.819663597869559	NA
BONE	AURKB_ENSG00000178999	18	99	-5.47625	-0.64	-1.405	0.765	0	3	0	3.03030303030303	-2.97	-11.81	0.214386194564982	0.989581977389569	0.989356314888225	NA
BONE	AURKC_ENSG00000105146	18	99	-3.935	-1.055	-0.28	-0.775	0	1	0	1.01010101010101	-3.31	-4.08	-0.188331631384478	0.0210019880854576	0.0214533804903884	NA
BONE	AXL_ENSG00000167601	18	99	-0.91	0.53	0.54	-0.01	2	3	11.1111111111111	3.03030303030303	-1.13	-2.49	-0.0827754725711584	0.187468270358631	0.187339908505156	NA
BONE	MAGI1_ENSG00000151276	18	99	-2.145	-0.015	-0.3	0.285	0	4	0	4.04040404040404	-0.76	-5.88	0.2069239488053	0.987405081090339	0.98720627546442	NA
BONE	BCKDK_ENSG00000103507	18	99	-3.29875	-0.265	-0.325	0.06	0	4	0	4.04040404040404	-3.21	-6.62	-0.034842401698319	0.355202228010192	0.355754413941683	NA
BONE	BCR_ENSG00000186716	18	99	-4.34	-1.35	-1.39	0.0399999999999998	1	3	5.55555555555556	3.03030303030303	-5.05	-7.22	-0.0213937919152186	0.409453546449325	0.410351515131339	NA
BONE	BLK_ENSG00000136573	18	99	-1.45625	0.25	0.39	-0.14	0	1	0	1.01010101010101	-1.15	-1.63	0.0373329387791795	0.654637852033885	0.656953950472966	NA
BONE	BMP2K_ENSG00000138756	18	99	-1.175	0.23	0.52	-0.29	0	4	0	4.04040404040404	-0.79	-2.31	-0.141691624406635	0.0637701941374145	0.0639684531661712	NA
BONE	BMPR1A_ENSG00000107779	18	99	-2.3025	-0.19	0	-0.19	0	3	0	3.03030303030303	-1.38	-3.47	0.010814376244505	0.545661596512816	0.547487023148291	NA
BONE	BMPR1B_ENSG00000138696	18	99	-0.855	0.43	0.49	-0.0599999999999999	0	4	0	4.04040404040404	-0.7	-1.72	-0.0294622355255857	0.376255673992593	0.37693506882512	NA
BONE	BMPR2_ENSG00000204217	18	99	-1.44	-0.055	0.2	-0.255	0	2	0	2.02020202020202	-1.08	-2.32	-0.19394954231224	0.018072158206661	0.0185290638588786	NA
BONE	BMX_ENSG00000102010	18	99	-1.1075	0.855	0.315	0.54	0	3	0	3.03030303030303	0.03	-2.76	0.382219652308933	0.999988519643967	0.999979578816604	NA
BONE	BRAF_ENSG00000157764	18	99	-4.34	-1.125	-1.35	0.225	0	5	0	5.05050505050505	-3.74	-17.29	-0.0154315297912731	0.434418781665138	0.435485462979337	NA
BONE	BRD2_ENSG00000236227	18	99	-1.79125	0.645	0.31	0.335	0	5	0	5.05050505050505	-0.37	-5.3	0.205147077450054	0.986417039513432	0.986229740634394	NA
BONE	BRD3_ENSG00000169925	18	99	-1.69	0.315	0.38	-0.065	0	4	0	4.04040404040404	-1.01	-2.78	0.0585719742592668	0.734765231232402	0.737160864940331	NA
BONE	BRD4_ENSG00000141867	18	99	-4.285	-1.67	-1.21	-0.46	2	0	11.1111111111111	0	-6.08	-4.09	-0.131516995120108	0.0787620784749747	0.0788713722474992	NA
BONE	BRDT_ENSG00000137948	18	99	-1.09125	0.515	0.58	-0.0649999999999999	0	6	0	6.06060606060606	-0.31	-5.51	-0.0369772448105965	0.346761376755648	0.347261700791841	NA
BONE	BTK_ENSG00000010671	18	99	-4.025	-1.3	-0.81	-0.49	0	1	0	1.01010101010101	-3.63	-4.56	-0.14168711187957	0.0637763191651826	0.0639745245825931	NA
BONE	BUB1_ENSG00000169679	18	99	-2.42	-0.1	-0.16	0.06	0	2	0	2.02020202020202	-1.31	-4.91	0.116787310452451	0.89507551823712	0.896456343439989	NA
BONE	BUB1B_ENSG00000156970	18	99	-5.1925	-0.035	-1.3	1.265	0	6	0	6.06060606060606	-2.34	-12.51	0.269849808383345	0.998302159436968	0.998120027468504	NA
BONE	PSTK_ENSG00000179988	18	99	-2.56	-0.055	-0.3	0.245	0	0	0	0	-1.55	-1.98	0.0975001242501631	0.852172387731267	0.854032407682632	NA
BONE	TSSK4_ENSG00000139908	18	99	-1.175	-0.015	0.28	-0.295	0	4	0	4.04040404040404	-1	-1.53	-0.163095129264301	0.0394600202776697	0.0398172536773624	NA
BONE	LMBR1_ENSG00000105983	18	99	-1.155	0.15	0.65	-0.5	0	2	0	2.02020202020202	-0.83	-2.74	-0.242346977114776	0.00423663850880441	0.00457525122926273	NA
BONE	IPPK_ENSG00000127080	18	99	-3.01	0.485	-0.38	0.865	1	1	5.55555555555556	1.01010101010101	-3.79	-3.62	0.258831265095757	0.997582411778959	0.997376582774784	NA
BONE	C9orf96_ENSG00000260489	18	99	-3.305	-1.535	-0.52	-1.015	0	2	0	2.02020202020202	-3.04	-6.13	-0.260232681985118	0.00230121887749514	0.00256294246182691	NA
BONE	CALM1_ENSG00000198668	18	99	-1.64625	-0.01	0.085	-0.095	1	1	5.55555555555556	1.01010101010101	-3.2	-2.66	-0.0863982564279524	0.178215734804303	0.178080415073101	NA
BONE	CALM2_ENSG00000143933	18	99	-3.63	-1.305	-0.875	-0.43	0	3	0	3.03030303030303	-2.97	-4.6	-0.167456205202313	0.036188757396193	0.036570081744943	NA
BONE	CALM3_ENSG00000160014	18	99	-2.785	-0.895	-0.74	-0.155	0	5	0	5.05050505050505	-1.89	-3.83	0.00841715076160101	0.535883995868864	0.537617319256869	NA
BONE	CAMK1_ENSG00000134072	18	99	-3.23	-0.52	-0.63	0.11	0	6	0	6.06060606060606	-1.84	-7.38	0.0189385892136023	0.580303868495982	0.58228875595019	NA
BONE	CAMK1D_ENSG00000183049	18	99	-1.275	0.225	0.37	-0.145	1	4	5.55555555555556	4.04040404040404	-1.58	-2.7	0.0263039410761334	0.610842112241837	0.612974267002534	NA
BONE	CAMK1G_ENSG00000008118	18	99	-0.955	0.275	0.58	-0.305	0	1	0	1.01010101010101	-0.23	-1.03	-0.143797571876577	0.0609606811125656	0.0611767824344306	NA
BONE	CAMK2A_ENSG00000070808	18	99	-1.37	0.275	0.22	0.055	0	4	0	4.04040404040404	-0.7	-2.62	0.0729506899455364	0.782790593497382	0.785084357915489	NA
BONE	CAMK2B_ENSG00000058404	18	99	-3.345	-0.06	-0.43	0.37	0	1	0	1.01010101010101	-1.77	-5.87	0.133682336258918	0.923733319150164	0.924697257156495	NA
BONE	CAMK2D_ENSG00000145349	18	99	-0.96	0.795	0.47	0.325	0	6	0	6.06060606060606	0.1	-2.27	0.222707535573482	0.992099486277888	0.991856300018867	NA
BONE	CAMK2G_ENSG00000148660	18	99	-1.22	0.605	0.22	0.385	0	4	0	4.04040404040404	-0.32	-6.65	0.205533781777371	0.986895795192555	0.986703622718977	NA
BONE	CAMK2N1_ENSG00000162545	18	99	-4.55	-0.74	-1.35	0.61	0	0	0	0	-3.46	-4.43	0.102407708353064	0.864052088090606	0.865797265445663	NA
BONE	CAMK4_ENSG00000152495	18	99	-1.6325	0.225	0.095	0.13	0	3	0	3.03030303030303	-0.77	-2.9	0.150394651992115	0.946457812406016	0.947019373734769	NA
BONE	CAMKK1_ENSG00000004660	18	99	-0.8425	0.8575	0.59	0.2675	0	1	0	1.01010101010101	0.14	-1.075	0.15326286102926	0.950503404430691	0.950983857020415	NA
BONE	CAMKK2_ENSG00000110931	18	99	-0.945	0.745	0.59	0.155	0	0	0	0	-0.41	-0.86	0.125208401530574	0.910702682928767	0.911862422836858	NA
BONE	SHPK_ENSG00000262304	18	99	-2.72	-0.405	-0.36	-0.045	0	1	0	1.01010101010101	-2.3	-2.73	-0.0224460717698217	0.405081837610565	0.405950543545425	NA
BONE	CASK_ENSG00000147044	18	99	-2.04	-0.015	0.02	-0.035	0	1	0	1.01010101010101	-1.71	-2.4	-0.00280577999728376	0.488024211766019	0.489452485693205	NA
BONE	CDK20_ENSG00000156345	18	99	-3.45	-0.71	-0.78	0.0700000000000001	0	1	0	1.01010101010101	-3.14	-3.8	-0.00981993563563474	0.458155793186519	0.459383631868238	NA
BONE	CDADC1_ENSG00000102543	18	99	-3.18	-0.66	-0.42	-0.24	0	2	0	2.02020202020202	-2.4	-3.82	-0.138883507934982	0.0676697882843127	0.067843827453076	NA
BONE	CDK1_ENSG00000170312	18	99	-4.825	-0.665	-1.45	0.785	0	9	0	9.09090909090909	-1.9	-13.77	0.272503724389053	0.998522585368838	0.998352211658622	NA
BONE	CDK11B_ENSG00000248333	18	99	-4.77	-1.325	-0.99	-0.335	0	7	0	7.07070707070707	-3.08	-22.15	-0.0427880647960629	0.32345308979425	0.323812460838583	NA
