Osteosarcoma	Other
0.87276	-4.401857
1.0793	-1.721462
1.684254	-1.656665
1.745588	-1.217312
1.796213	-1.057986
2.23552	-0.912975
2.498192	-0.60328
3.743938	-0.574679
4.643078	-0.340259
4.758798	-0.301238
	-0.235877
	0.097566
	0.16541
	0.218846
	0.227132
	0.300432
	0.312886
	0.387829
	0.4231
	0.458795
	0.532716
	0.542733
	0.689915
	0.792579
	0.904982
	0.950841
	1.037532
	1.039015
	1.072103
	1.110118
	1.135049
	1.14016
	1.161894
	1.183101
	1.19099
	1.192108
	1.197619
	1.214606
	1.242932
	1.252348
	1.26088
	1.296913
	1.300553
	1.302568
	1.312723
	1.344527
	1.366284
	1.366716
	1.387964
	1.393553
	1.402469
	1.455642
	1.462175
	1.4881
	1.496978
	1.51471
	1.522316
	1.583439
	1.64531
	1.658609
	1.742526
	1.799848
	1.832872
	1.850559
	1.859002
	1.934104
	1.998529
	2.014236
	2.089426
	2.093719
	2.142665
	2.154267
	2.162485
	2.163077
	2.169217
	2.176951
	2.183654
	2.204458
	2.25091
	2.251918
	2.265545
	2.287211
	2.290929
	2.297104
	2.300241
	2.321232
	2.321612
	2.321659
	2.349444
	2.353917
	2.386156
	2.386651
	2.387854
	2.394213
	2.396807
	2.400691
	2.404569
	2.416663
	2.433791
	2.437607
	2.452447
	2.468038
	2.473745
	2.48234
	2.487788
	2.495546
	2.502774
	2.503235
	2.548741
	2.576842
	2.589167
	2.599326
	2.62149
	2.638116
	2.666418
	2.670369
	2.685639
	2.732661
	2.733533
	2.75017
	2.766912
	2.778076
	2.792856
	2.794948
	2.804362
	2.806621
	2.807488
	2.808732
	2.823224
	2.832504
	2.900256
	2.913696
	2.925243
	2.930187
	2.937609
	2.951009
	2.965027
	2.983723
	2.993833
	3.008767
	3.009866
	3.085893
	3.106247
	3.114133
	3.117927
	3.12094
	3.125008
	3.138321
	3.171898
	3.177291
	3.189484
	3.194603
	3.194766
	3.212809
	3.215293
	3.220166
	3.223111
	3.234388
	3.236004
	3.251094
	3.269417
	3.273828
	3.287854
	3.312055
	3.321674
	3.333003
	3.340374
	3.340736
	3.346391
	3.365261
	3.382888
	3.384824
	3.387051
	3.387339
	3.393188
	3.397407
	3.405938
	3.416936
	3.426346
	3.436876
	3.437564
	3.444564
	3.463595
	3.466269
	3.490709
	3.504806
	3.5076
	3.509474
	3.510852
	3.536759
	3.544995
