intercell_name	AZ4547	PD173074
HUO9_BONE	0.83754859	0.830007196
KPD_BONE	0.948462597	0.979582557
LM7_BONE	0.895539677	0.737887407
MG63_BONE	0.838643478	0.725824842
MHM_BONE	0.878151323	0.801129801
NY_BONE	0.776432863	0.827536151
OHSN_BONE	1	0.769031866
OS25HAL_BONE	0.93000424	0.756305199
BT20_BREAST	1	0.936942279
BT474_BREAST	0.965173865	0.801209636
BT549_BREAST	0.997293103	0.997290029
CAL120_BREAST	0.77456431	0.590558946
CAL51_BREAST	0.798553621	0.621119571
CAMA1_BREAST	NA	0.785053895
DU4475_BREAST	1	0.997278854
HCC1143_BREAST	1	0.997289343
HCC1395_BREAST	0.804538851	0.880118476
HCC1500_BREAST	0.995886044	0.808639116
HCC1569_BREAST	0.735251382	0.831652663
HCC1806_BREAST	0.988150495	0.826491945
HCC1954_BREAST	0.888393835	0.622064196
HCC202_BREAST	0.988686205	0.922122794
HCC38_BREAST	0.997290469	0.825747317
HCC70_BREAST	0.960069246	0.946731116
HMT3552_BREAST	1	0.845495902
HS578T_BREAST	0.997290029	0.873044394
JIMT1_BREAST	0.986141538	0.833873031
KCL1_BREAST	0.997290029	0.864462084
KCL3_BREAST	1	0.809738202
KCL5_BREAST	0.981833668	0.958666883
MCF7_BREAST	0.809404664	0.58514108
MDAMB134VI_BREAST	0.997291237	0.850022455
MDAMB231_BREAST	1	0.997290023
MDAMB361_BREAST	0.860267688	0.722064609
MDAMB436_BREAST	1	0.997290029
MDAMB468_BREAST	1	0.747420424
MFM223_BREAST	0.577554756	0.489302444
S68_BREAST	0.953191629	0.806307996
SKBR3_BREAST	0.980054142	0.772017092
SUM149_BREAST	NA	NA
SUM159_BREAST	1	0.91499395
SUM44_BREAST	1	0.872798208
T47D_BREAST	1	0.865302001
VP229_BREAST	1	0.842951284
ZR751_BREAST	0.821331813	0.813494663
DIPG7_CENTRAL_NERVOUS_SYSTEM	0.803902638	0.877401239
C33A_CERVICAL	0.936733881	0.645954571
CASKI_CERVICAL	0.901847924	0.746074242
HELA_CERVICAL	1	0.838920793
SIHA_CERVICAL	0.903347023	0.780882507
93VU_HEADNECK	0.986611873	0.898133408
PCI30_HEADNECK	0.984795417	0.807260404
SCC003_HEADNECK	1	0.839912118
SCC47_HEADNECK	1	0.798935256
SCC90_HEADNECK	0.997290029	0.802592808
H441_LUNG	0.98510887	0.794969735
MCF10A_BREAST	0.93	1
MCF12A_BREAST	1	NA
