intercell_name	LUNG	HEADNECK	CERVICAL	CENTRAL_NERVOUS_SYSTEM	BREAST	BONE
HUO9_BONE	0	0	0	0	0	1
KPD_BONE	0	0	0	0	0	1
LM7_BONE	0	0	0	0	0	1
MG63_BONE	0	0	0	0	0	1
MHM_BONE	0	0	0	0	0	1
NY_BONE	0	0	0	0	0	1
OHSN_BONE	0	0	0	0	0	1
OS25HAL_BONE	0	0	0	0	0	1
BT20_BREAST	0	0	0	0	1	0
BT474_BREAST	0	0	0	0	1	0
BT549_BREAST	0	0	0	0	1	0
CAL120_BREAST	0	0	0	0	1	0
CAL51_BREAST	0	0	0	0	1	0
CAMA1_BREAST	0	0	0	0	1	0
DU4475_BREAST	0	0	0	0	1	0
HCC1143_BREAST	0	0	0	0	1	0
HCC1395_BREAST	0	0	0	0	1	0
HCC1500_BREAST	0	0	0	0	1	0
HCC1569_BREAST	0	0	0	0	1	0
HCC1806_BREAST	0	0	0	0	1	0
HCC1954_BREAST	0	0	0	0	1	0
HCC202_BREAST	0	0	0	0	1	0
HCC38_BREAST	0	0	0	0	1	0
HCC70_BREAST	0	0	0	0	1	0
HMT3552_BREAST	0	0	0	0	1	0
HS578T_BREAST	0	0	0	0	1	0
JIMT1_BREAST	0	0	0	0	1	0
KCL1_BREAST	0	0	0	0	1	0
KCL3_BREAST	0	0	0	0	1	0
KCL5_BREAST	0	0	0	0	1	0
MCF7_BREAST	0	0	0	0	1	0
MDAMB134VI_BREAST	0	0	0	0	1	0
MDAMB231_BREAST	0	0	0	0	1	0
MDAMB361_BREAST	0	0	0	0	1	0
MDAMB436_BREAST	0	0	0	0	1	0
MDAMB468_BREAST	0	0	0	0	1	0
MFM223_BREAST	0	0	0	0	1	0
S68_BREAST	0	0	0	0	1	0
SKBR3_BREAST	0	0	0	0	1	0
SUM149_BREAST	0	0	0	0	1	0
SUM159_BREAST	0	0	0	0	1	0
SUM44_BREAST	0	0	0	0	1	0
T47D_BREAST	0	0	0	0	1	0
VP229_BREAST	0	0	0	0	1	0
ZR751_BREAST	0	0	0	0	1	0
DIPG7_CENTRAL_NERVOUS_SYSTEM	0	0	0	1	0	0
C33A_CERVICAL	0	0	1	0	0	0
CASKI_CERVICAL	0	0	1	0	0	0
HELA_CERVICAL	0	0	1	0	0	0
SIHA_CERVICAL	0	0	1	0	0	0
93VU_HEADNECK	0	1	0	0	0	0
PCI30_HEADNECK	0	1	0	0	0	0
SCC003_HEADNECK	0	1	0	0	0	0
SCC47_HEADNECK	0	1	0	0	0	0
SCC90_HEADNECK	0	1	0	0	0	0
H441_LUNG	1	0	0	0	0	0
MCF10A_BREAST	0	0	0	0	1	0
MCF12A_BREAST	0	0	0	0	1	0
