cell_line	Cell cycle (TSG)	Cell cycle (merged)	Cell cycle (oncogene)	Chromatin SWI/SNF complex	Chromatin histone demethylases	Chromatin histone methyltransferases	Chromatin other	FGFR	Genome integrity	HR_CHRIS	HR_FULL	MAPK signaling (colm)	MAPK signaling merged)	MMR	Metabolism	Notch signaling (oncogene or TSG)	PI3K signaling (TSG)	PI3K signaling (merged)	PI3K signaling (oncogenes)	PRC2	RTK signaling	Splicing	TGF-_ signaling (TSG)	TOR signaling (TSG)	Transcription factor lineage dependency or oncogene	Transcription factor other	Translation/protein homeostasis/ubiquitination	Wnt/_-catenin signaling (TSG)
CAL72_BONE	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0
NOS1_BONE	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
NY_BONE	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0
HUO3N1_BONE	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
MG63_BONE	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0
HOS_BONE	1	1	1	1	0	1	0	0	1	0	1	0	1	0	1	1	0	0	0	1	0	0	1	1	0	0	0	0
U2OS_BONE	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
SAOS2_BONE	1	1	0	1	0	1	0	0	1	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
HUO9_BONE	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
143B_BONE	1	1	1	0	0	1	0	0	1	0	1	1	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0
TOV21G_OVARY	0	0	0	1	1	1	0	0	0	1	1	1	1	0	0	1	1	1	1	0	0	0	0	1	0	0	0	1
RMGI_OVARY	1	1	0	0	1	1	0	1	1	1	1	0	0	1	0	1	0	0	0	1	1	0	0	1	0	0	1	0
OVMANA_OVARY	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0
ES2_OVARY	0	1	1	0	0	1	0	1	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
OVISE_OVARY	0	0	0	1	0	1	0	1	1	1	0	0	0	0	0	1	0	1	1	0	1	1	0	0	0	0	0	1
OVTOKO_OVARY	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	1	1	1	0
TE11_OESOPHAGUS	1	1	1	1	1	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0
SKLMS1_SOFT_TISSUE	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
TE8_OESOPHAGUS	1	1	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	1	1	0	0
MDAMB231_BREAST	1	1	0	1	0	1	0	0	1	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
H358_LUNG	0	0	0	0	1	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1
DU4475_BREAST	1	1	0	0	0	1	0	0	1	1	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1
BT20_BREAST	1	1	0	0	0	1	1	0	1	1	1	1	1	1	0	0	1	1	1	0	1	0	1	0	0	1	0	0
SIHA_CERVICAL	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ESO26_OESOPHAGUS	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0
MESSA_SOFT_TISSUE	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	1	0	0
H1793_LUNG	1	1	0	1	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	1
BXPC3_PANCREAS	1	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
A427_LUNG	1	1	0	1	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1
HOP62_LUNG	1	1	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SW982_SOFT_TISSUE	1	1	0	0	0	1	0	0	0	1	1	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
SW684_SOFT_TISSUE	1	1	0	1	1	1	0	1	1	1	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1	1	0	1
MDAMB468_BREAST	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0
CASKI_CERVICAL	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
H1299_LUNG	0	1	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
MFE296_ENDOMETRIUM	0	0	0	1	1	1	0	1	1	1	1	0	0	1	0	0	1	1	1	0	1	0	0	0	0	0	0	0
A204_SOFT_TISSUE	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FLO1_OESOPHAGUS	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OACP4C_OESOPHAGUS	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
KNS42_CENTRAL_NERVOUS_SYSTEM	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0
SW872_SOFT_TISSUE	1	1	0	0	0	0	0	1	1	0	0	1	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0
OE33_OESOPHAGUS	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
ZR7530_BREAST	0	0	0	1	0	1	0	0	0	1	1	1	1	0	0	1	0	0	0	1	1	0	0	1	0	1	0	0
SKUT1_SOFT_TISSUE	1	1	0	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	0	1	0	1	1	0	1	1	1
MDAMB157_BREAST	0	1	1	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0
CAMA1_BREAST	0	1	1	0	0	0	0	1	1	1	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0
HCC202_BREAST	0	0	0	0	0	1	0	0	1	1	1	0	1	0	0	0	0	1	1	0	1	1	0	0	0	0	1	0
OAW42_OVARY	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0
C33A_CERVICAL	1	1	0	1	0	1	0	0	1	1	1	1	1	1	0	0	1	1	1	0	0	1	0	1	0	0	1	1
SJSA1_BONE	0	1	1	0	1	1	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
T47D_BREAST	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0
SKOV3_OVARY	1	1	0	1	0	0	0	1	1	1	0	1	1	1	0	1	0	1	1	0	1	0	0	0	0	0	1	1
H1975_LUNG	1	1	1	0	0	1	0	0	1	1	1	0	0	0	0	0	0	1	1	0	1	0	0	1	0	1	0	1
HCC70_BREAST	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0
PCI30_HEADNECK	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H292_LUNG	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
